epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,295.289,1.26846,1.64076,0.96058,0.85168,0.81434,0.85287,0.55586,1.13452,1.51397,1.01324,0.000742625,0.000742625,0.000742625
43,304.07,1.16099,1.86172,0.97385,0.88517,0.80139,0.86133,0.56669,1.14783,1.40072,1.02242,0.00073025,0.00073025,0.00073025
44,311.119,1.1849,1.84188,0.91459,0.7869,0.84824,0.85474,0.57783,1.08077,1.3143,0.98873,0.000717875,0.000717875,0.000717875
45,317.928,1.22688,1.67976,0.94447,0.79089,0.8417,0.85754,0.60143,1.00598,1.27158,0.96696,0.0007055,0.0007055,0.0007055
46,324.824,1.22155,1.76471,0.91232,0.79631,0.88802,0.8731,0.58796,1.05339,1.26543,0.96049,0.000693125,0.000693125,0.000693125
47,331.557,1.19705,1.59237,0.96119,0.89682,0.81242,0.87635,0.59255,1.071,1.2913,0.9631,0.00068075,0.00068075,0.00068075
48,339.669,1.23828,1.52501,0.94388,0.82458,0.86555,0.88662,0.61598,1.10933,1.22065,0.97912,0.000668375,0.000668375,0.000668375
49,346.434,1.17448,1.73903,0.89418,0.86512,0.82126,0.87533,0.591,1.10342,1.17953,0.97788,0.000656,0.000656,0.000656
50,353.276,1.16359,1.57635,0.93808,0.94306,0.82856,0.88913,0.56168,1.09945,1.09711,0.98207,0.000643625,0.000643625,0.000643625
51,360.145,1.23062,1.59357,0.96708,0.87636,0.82531,0.86597,0.5786,1.05553,1.17281,0.98315,0.00063125,0.00063125,0.00063125
52,367,1.21742,1.42042,0.97568,0.89629,0.79278,0.85807,0.5753,1.05099,1.14981,0.98049,0.000618875,0.000618875,0.000618875
53,375.531,1.11963,1.43577,0.92272,0.89057,0.83574,0.87174,0.569,1.06726,1.02746,0.97994,0.0006065,0.0006065,0.0006065
54,382.679,1.21874,1.43836,0.97679,0.8893,0.83658,0.89681,0.57229,1.06843,1.04762,0.98302,0.000594125,0.000594125,0.000594125
55,389.612,1.22195,1.6996,0.99599,0.81782,0.89618,0.86546,0.57597,1.06124,1.11662,0.98622,0.00058175,0.00058175,0.00058175
56,396.492,1.19647,1.58088,0.9472,0.81095,0.90427,0.86867,0.60178,1.04592,1.15836,0.98234,0.000569375,0.000569375,0.000569375
57,403.241,1.0849,1.73097,0.91722,0.81368,0.86367,0.88187,0.62174,1.06754,1.23808,0.97656,0.000557,0.000557,0.000557
58,411.505,1.20844,1.32832,0.95507,0.8514,0.85605,0.883,0.59644,1.09104,1.22587,0.98487,0.000544625,0.000544625,0.000544625
59,418.182,1.14094,1.55347,0.91108,0.83986,0.90972,0.88721,0.58019,1.0596,1.11034,0.98029,0.00053225,0.00053225,0.00053225
60,424.875,1.11306,1.42239,0.9091,0.84054,0.89483,0.88731,0.5888,1.11262,1.14285,0.97809,0.000519875,0.000519875,0.000519875
61,431.729,1.14366,1.40243,0.92355,0.88969,0.83145,0.90046,0.60982,1.12468,1.10838,0.98136,0.0005075,0.0005075,0.0005075
62,439.85,1.12343,1.38304,0.90575,0.85697,0.84702,0.89522,0.58634,1.06741,1.06897,0.97054,0.000495125,0.000495125,0.000495125
63,446.599,1.10604,1.42248,0.91458,0.91528,0.84783,0.89877,0.57686,1.02793,1.03025,0.97234,0.00048275,0.00048275,0.00048275
64,453.402,1.15909,1.27744,0.90798,0.89739,0.8049,0.89298,0.58157,1.06602,1.08596,0.97656,0.000470375,0.000470375,0.000470375
65,460.302,1.22199,1.28153,0.96555,0.8931,0.80083,0.87521,0.55236,1.11437,1.14218,0.98175,0.000458,0.000458,0.000458
66,467.023,1.07081,1.41097,0.8973,0.89368,0.82896,0.87745,0.58895,1.18832,1.126,0.98757,0.000445625,0.000445625,0.000445625
67,475.156,1.16231,1.2713,0.92933,0.90506,0.84692,0.88048,0.56115,1.08203,1.05307,0.97101,0.00043325,0.00043325,0.00043325
68,481.93,1.10065,1.19617,0.90124,0.89435,0.86237,0.88438,0.57438,1.07582,1.02388,0.9789,0.000420875,0.000420875,0.000420875
69,488.825,1.05077,1.1926,0.91461,0.88074,0.86457,0.88679,0.54808,1.0879,1.06916,0.97696,0.0004085,0.0004085,0.0004085
70,495.653,1.11347,1.23369,0.93447,0.88554,0.84851,0.88101,0.55495,1.09957,1.06999,0.97923,0.000396125,0.000396125,0.000396125
71,502.577,1.08169,1.27478,0.89979,0.89624,0.83893,0.88497,0.60309,1.08881,1.00444,0.97326,0.00038375,0.00038375,0.00038375
72,510.946,1.08849,1.22146,0.90539,0.89605,0.83654,0.87149,0.58269,1.09436,1.02487,0.97544,0.000371375,0.000371375,0.000371375
73,517.795,1.09982,1.29264,0.91814,0.95039,0.86494,0.90516,0.5885,1.08863,0.97505,0.97592,0.000359,0.000359,0.000359
74,524.495,1.07725,1.37284,0.92783,0.94768,0.84763,0.8999,0.54996,1.13223,0.97235,0.98298,0.000346625,0.000346625,0.000346625
75,531.503,1.11557,1.05386,0.91991,0.90808,0.81733,0.89653,0.57461,1.13356,0.99312,0.97732,0.00033425,0.00033425,0.00033425
76,538.315,1.02812,1.24282,0.91241,0.86093,0.84277,0.87769,0.58375,1.10734,1.01722,0.96943,0.000321875,0.000321875,0.000321875
77,546.427,1.03309,1.35626,0.8572,0.84666,0.8386,0.87571,0.57891,1.13353,1.09433,0.97179,0.0003095,0.0003095,0.0003095
78,553.152,1.09484,1.2509,0.91456,0.89214,0.83929,0.8852,0.58751,1.13025,0.99118,0.9684,0.000297125,0.000297125,0.000297125
79,560.096,1.08622,1.18402,0.90671,0.88662,0.84398,0.88711,0.56795,1.16097,0.99592,0.97933,0.00028475,0.00028475,0.00028475
80,566.971,1.01848,1.21484,0.89094,0.87939,0.85647,0.90292,0.58162,1.1262,0.93366,0.97321,0.000272375,0.000272375,0.000272375
81,574.907,0.90531,1.25646,0.83837,0.8846,0.88016,0.90318,0.61846,1.09714,0.92654,0.96704,0.00026,0.00026,0.00026
82,581.857,1.024,1.02588,0.92238,0.85369,0.85307,0.89341,0.61975,1.07571,0.92053,0.96381,0.000247625,0.000247625,0.000247625
83,588.649,1.00388,1.18389,0.89073,0.84083,0.87015,0.89723,0.61856,1.08478,0.93565,0.9616,0.00023525,0.00023525,0.00023525
84,595.325,1.02715,0.99549,0.92512,0.82637,0.85694,0.87901,0.59802,1.09021,0.99917,0.96397,0.000222875,0.000222875,0.000222875
85,602.347,0.99879,1.04486,0.87936,0.85573,0.8327,0.89772,0.60623,1.06949,0.96567,0.96557,0.0002105,0.0002105,0.0002105
86,611.059,1.01568,1.19599,0.91051,0.85772,0.87541,0.89955,0.60485,1.07201,0.94393,0.96707,0.000198125,0.000198125,0.000198125
87,617.927,1.0157,1.29781,0.89743,0.838,0.87033,0.8839,0.59059,1.13254,0.98219,0.97514,0.00018575,0.00018575,0.00018575
88,624.266,0.96695,1.27201,0.84758,0.83224,0.87021,0.88447,0.59143,1.15409,0.99318,0.97629,0.000173375,0.000173375,0.000173375
89,630.962,0.99209,1.09007,0.86608,0.89192,0.81871,0.88199,0.60917,1.14716,1.01357,0.97516,0.000161,0.000161,0.000161
90,637.663,0.96921,1.21294,0.84046,0.88861,0.81572,0.87952,0.59628,1.14872,1.04971,0.98051,0.000148625,0.000148625,0.000148625
91,646.764,1.0698,1.14383,0.89084,0.8827,0.82565,0.87418,0.55232,1.15021,1.18017,0.98961,0.00013625,0.00013625,0.00013625
92,653.792,1.05327,1.1412,0.89088,0.89063,0.82547,0.87381,0.55991,1.13767,1.15684,0.99095,0.000123875,0.000123875,0.000123875
93,660.725,1.02471,1.1773,0.86858,0.896,0.82044,0.87389,0.58507,1.13808,1.13142,0.99167,0.0001115,0.0001115,0.0001115
94,667.696,1.0291,1.1988,0.88084,0.90268,0.84923,0.87757,0.57261,1.14879,1.11223,0.99489,9.9125e-05,9.9125e-05,9.9125e-05
95,676.231,1.07717,1.23959,0.89682,0.89519,0.85189,0.87911,0.57929,1.15681,1.07784,0.99463,8.675e-05,8.675e-05,8.675e-05
96,683.153,1.02524,1.15383,0.86811,0.8952,0.84713,0.8792,0.57441,1.13686,1.04158,0.99249,7.4375e-05,7.4375e-05,7.4375e-05
97,689.891,1.06693,1.15944,0.88362,0.89385,0.85625,0.8792,0.57415,1.12316,1.00638,0.98893,6.2e-05,6.2e-05,6.2e-05
98,696.383,1.07001,1.15442,0.88699,0.91122,0.88194,0.89766,0.61607,1.10715,0.97201,0.97897,4.9625e-05,4.9625e-05,4.9625e-05
99,703.187,1.09781,1.2515,0.86858,0.89997,0.83891,0.89276,0.61173,1.09667,1.00895,0.97617,3.725e-05,3.725e-05,3.725e-05
100,711.556,0.98695,1.11196,0.87664,0.90096,0.8445,0.89403,0.61591,1.0943,1.00569,0.97374,2.4875e-05,2.4875e-05,2.4875e-05
