epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17.6074,0.39663,1.32418,0.83701,0.00383,1,0.74625,0.74625,0.21073,2.95959,0.84231,0.000409022,0.000409022,0.000409022
44,17.949,0.43169,1.40407,0.89891,0.00383,1,0.74625,0.74625,0.21073,2.95959,0.84231,0.000411664,0.000411664,0.000411664
45,18.3043,0.35966,1.43576,0.81294,0.00394,1,0.995,0.995,0.23601,2.87854,0.8516,0.000413976,0.000413976,0.000413976
46,18.6498,0.40592,1.49928,0.84763,0.00394,1,0.995,0.995,0.23601,2.87854,0.8516,0.000415958,0.000415958,0.000415958
47,18.9944,0.43708,1.33699,0.8848,0.00384,1,0.995,0.995,0.23553,2.88649,0.84701,0.00041761,0.00041761,0.00041761
48,19.3361,0.58927,1.32649,0.81532,0.00384,1,0.995,0.995,0.23553,2.88649,0.84701,0.000418932,0.000418932,0.000418932
49,19.7241,0.3525,1.50675,0.94396,0.00358,1,0.995,0.995,0.20441,2.90099,0.84378,0.000419924,0.000419924,0.000419924
50,20.0807,0.46898,1.27702,0.76454,0.00358,1,0.995,0.995,0.20441,2.90099,0.84378,0.000420586,0.000420586,0.000420586
51,20.5366,0.4045,1.26077,0.79266,0.00347,1,0.995,0.995,0.19414,2.87353,0.84088,0.000420918,0.000420918,0.000420918
52,20.895,0.35032,1.07098,0.87286,0.00347,1,0.995,0.995,0.19414,2.87353,0.84088,0.000420919,0.000420919,0.000420919
53,21.2419,0.54612,1.53253,0.88915,0.00347,1,0.995,0.995,0.19414,2.87353,0.84088,0.000420591,0.000420591,0.000420591
54,21.6045,0.3531,1.17001,0.83392,0.0035,1,0.995,0.995,0.20699,2.89763,0.8379,0.000419932,0.000419932,0.000419932
55,21.9563,0.37046,1.23749,0.85358,0.0035,1,0.995,0.995,0.20699,2.89763,0.8379,0.000418944,0.000418944,0.000418944
56,22.3184,0.3661,1.18507,0.80282,0.0035,1,0.995,0.995,0.20699,2.89763,0.8379,0.000417625,0.000417625,0.000417625
57,22.6856,0.37301,1.51539,0.81745,0.00341,1,0.995,0.995,0.23905,2.89161,0.83895,0.000415977,0.000415977,0.000415977
58,23.0308,0.43264,1.1495,0.8512,0.00341,1,0.995,0.995,0.23905,2.89161,0.83895,0.000413998,0.000413998,0.000413998
59,23.3784,0.40348,1.1004,0.86168,0.00341,1,0.995,0.995,0.23905,2.89161,0.83895,0.000411689,0.000411689,0.000411689
60,23.7492,0.36157,1.113,0.81628,0.00341,1,0.995,0.995,0.21981,2.7379,0.83855,0.00040905,0.00040905,0.00040905
61,24.1892,0.32517,1.02172,0.78701,0.00341,1,0.995,0.995,0.21981,2.7379,0.83855,0.000406081,0.000406081,0.000406081
62,24.5381,0.31177,1.09854,0.80293,0.00341,1,0.995,0.995,0.21981,2.7379,0.83855,0.000402782,0.000402782,0.000402782
